X,Y,Z,TYPE,STREET1,STREET2,STREET3,STREET4,INTERSECTI,GID
431166.44,5446207.631,0,NORMAL,"897","431",,,"6556","59773"
431264.864,5446243.721,0,NORMAL,"1006","431",,,"6553","59776"
431325.85,5446266.701,0,NORMAL,"431","939",,,"6552","59777"
431359.463,5446277.981,0,NORMAL,"1205","431",,,"6551","59778"
431477.033,5446098.204,0,NORMAL,"446","1205",,,"6550","59779"
431485.737,5446103.891,0,NORMAL,"446","1205",,,"6549","59780"
431753.727993861,5445933.47588834,0,DEADEND,"529",,,,"6548","59781"
431723.078,5445864.267,0,NORMAL,"946","529",,,"6547","59782"
431602.059,5445918.466,0,NORMAL,"946","19",,,"6546","59783"
431662.764,5445990.088,0,NORMAL,"19","368",,,"6545","59784"
431547.705,5446143.349,0,NORMAL,"368","446",,,"6544","59785"
431732.495,5446081.193,0,NORMAL,"1182","286","19","1169","6543","59786"
431680.879,5446011.439,0,NORMAL,"19","228",,,"6541","59788"
431845.44,5445813.125,0,NORMAL,"946","1170",,,"6539","59790"
431829.781,5445693.142,0,NORMAL,"1170","1006",,,"6538","59791"
431870.806,5445649.284,0,DEADEND,"427",,,,"6537","59792"
431824.236,5445650.384,0,NORMAL,"427","1170",,,"6536","59793"
431816.323,5445590.017,0,NORMAL,"897","1170",,,"6535","59794"
431801.189,5445476.209,0,TRAFFIC LIGHT,"749","1170",,,"6534","59795"
431898.222,5445436.877,0,TRAFFIC LIGHT,"807","749",,,"6533","59796"
